OPENED bigfile.txt AS FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
WRITTEN 100 BYTES TO FD 3
CLOSED FD 3 (bigfile.txt)
