CREATE 1000
CONNECT perf_client_1
CONNECT perf_client_2
CONNECT perf_client_3
CONNECT perf_client_4
CONNECT perf_client_5
CONNECT perf_client_6
CONNECT perf_client_7
CONNECT perf_client_8
CONNECT perf_client_9
CONNECT perf_client_10
CONNECT perf_client_11
CONNECT perf_client_12
CONNECT perf_client_13
CONNECT perf_client_14
CONNECT perf_client_15
CONNECT perf_client_16
CONNECT perf_client_17
CONNECT perf_client_18
CONNECT perf_client_19
CONNECT perf_client_20
CONNECT perf_client_21
CONNECT perf_client_22
CONNECT perf_client_23
CONNECT perf_client_24
CONNECT perf_client_25
CONNECT perf_client_26
CONNECT perf_client_27
CONNECT perf_client_28
CONNECT perf_client_29
CONNECT perf_client_30
CONNECT perf_client_31
CONNECT perf_client_32
CONNECT perf_client_33
CONNECT perf_client_34
CONNECT perf_client_35
CONNECT perf_client_36
CONNECT perf_client_37
CONNECT perf_client_38
CONNECT perf_client_39
CONNECT perf_client_40
CONNECT perf_client_41
CONNECT perf_client_42
CONNECT perf_client_43
CONNECT perf_client_44
CONNECT perf_client_45
CONNECT perf_client_46
CONNECT perf_client_47
CONNECT perf_client_48
CONNECT perf_client_49
CONNECT perf_client_50
CONNECT perf_client_51
CONNECT perf_client_52
CONNECT perf_client_53
CONNECT perf_client_54
CONNECT perf_client_55
CONNECT perf_client_56
CONNECT perf_client_57
CONNECT perf_client_58
CONNECT perf_client_59
CONNECT perf_client_60
CONNECT perf_client_61
CONNECT perf_client_62
CONNECT perf_client_63
CONNECT perf_client_64
CONNECT perf_client_65
CONNECT perf_client_66
CONNECT perf_client_67
CONNECT perf_client_68
CONNECT perf_client_69
CONNECT perf_client_70
CONNECT perf_client_71
CONNECT perf_client_72
CONNECT perf_client_73
CONNECT perf_client_74
CONNECT perf_client_75
CONNECT perf_client_76
CONNECT perf_client_77
CONNECT perf_client_78
CONNECT perf_client_79
CONNECT perf_client_80
CONNECT perf_client_81
CONNECT perf_client_82
CONNECT perf_client_83
CONNECT perf_client_84
CONNECT perf_client_85
CONNECT perf_client_86
CONNECT perf_client_87
CONNECT perf_client_88
CONNECT perf_client_89
CONNECT perf_client_90
CONNECT perf_client_91
CONNECT perf_client_92
CONNECT perf_client_93
CONNECT perf_client_94
CONNECT perf_client_95
CONNECT perf_client_96
CONNECT perf_client_97
CONNECT perf_client_98
CONNECT perf_client_99
CONNECT perf_client_100
STATUS
CONNECT perf_client_101
CONNECT perf_client_102
CONNECT perf_client_103
CONNECT perf_client_104
CONNECT perf_client_105
CONNECT perf_client_106
CONNECT perf_client_107
CONNECT perf_client_108
CONNECT perf_client_109
CONNECT perf_client_110
CONNECT perf_client_111
CONNECT perf_client_112
CONNECT perf_client_113
CONNECT perf_client_114
CONNECT perf_client_115
CONNECT perf_client_116
CONNECT perf_client_117
CONNECT perf_client_118
CONNECT perf_client_119
CONNECT perf_client_120
CONNECT perf_client_121
CONNECT perf_client_122
CONNECT perf_client_123
CONNECT perf_client_124
CONNECT perf_client_125
CONNECT perf_client_126
CONNECT perf_client_127
CONNECT perf_client_128
CONNECT perf_client_129
CONNECT perf_client_130
CONNECT perf_client_131
CONNECT perf_client_132
CONNECT perf_client_133
CONNECT perf_client_134
CONNECT perf_client_135
CONNECT perf_client_136
CONNECT perf_client_137
CONNECT perf_client_138
CONNECT perf_client_139
CONNECT perf_client_140
CONNECT perf_client_141
CONNECT perf_client_142
CONNECT perf_client_143
CONNECT perf_client_144
CONNECT perf_client_145
CONNECT perf_client_146
CONNECT perf_client_147
CONNECT perf_client_148
CONNECT perf_client_149
CONNECT perf_client_150
CONNECT perf_client_151
CONNECT perf_client_152
CONNECT perf_client_153
CONNECT perf_client_154
CONNECT perf_client_155
CONNECT perf_client_156
CONNECT perf_client_157
CONNECT perf_client_158
CONNECT perf_client_159
CONNECT perf_client_160
CONNECT perf_client_161
CONNECT perf_client_162
CONNECT perf_client_163
CONNECT perf_client_164
CONNECT perf_client_165
CONNECT perf_client_166
CONNECT perf_client_167
CONNECT perf_client_168
