WRITE: bigfile.txt (7 chars)
APPEND: bigfile.txt (12 total chars)
APPEND: bigfile.txt (17 total chars)
APPEND: bigfile.txt (22 total chars)
APPEND: bigfile.txt (27 total chars)
APPEND: bigfile.txt (32 total chars)
APPEND: bigfile.txt (37 total chars)
APPEND: bigfile.txt (42 total chars)
APPEND: bigfile.txt (47 total chars)
APPEND: bigfile.txt (52 total chars)
APPEND: bigfile.txt (57 total chars)
APPEND: bigfile.txt (63 total chars)
APPEND: bigfile.txt (69 total chars)
APPEND: bigfile.txt (75 total chars)
APPEND: bigfile.txt (81 total chars)
APPEND: bigfile.txt (87 total chars)
APPEND: bigfile.txt (93 total chars)
APPEND: bigfile.txt (99 total chars)
APPEND: bigfile.txt (105 total chars)
APPEND: bigfile.txt (111 total chars)
APPEND: bigfile.txt (117 total chars)
APPEND: bigfile.txt (123 total chars)
APPEND: bigfile.txt (129 total chars)
APPEND: bigfile.txt (135 total chars)
APPEND: bigfile.txt (141 total chars)
APPEND: bigfile.txt (147 total chars)
APPEND: bigfile.txt (153 total chars)
APPEND: bigfile.txt (159 total chars)
APPEND: bigfile.txt (165 total chars)
APPEND: bigfile.txt (171 total chars)
APPEND: bigfile.txt (177 total chars)
APPEND: bigfile.txt (183 total chars)
APPEND: bigfile.txt (189 total chars)
APPEND: bigfile.txt (195 total chars)
APPEND: bigfile.txt (201 total chars)
APPEND: bigfile.txt (207 total chars)
APPEND: bigfile.txt (213 total chars)
APPEND: bigfile.txt (219 total chars)
APPEND: bigfile.txt (225 total chars)
APPEND: bigfile.txt (231 total chars)
APPEND: bigfile.txt (237 total chars)
APPEND: bigfile.txt (243 total chars)
APPEND: bigfile.txt (249 total chars)
APPEND: bigfile.txt (255 total chars)
APPEND: bigfile.txt (261 total chars)
APPEND: bigfile.txt (267 total chars)
APPEND: bigfile.txt (273 total chars)
APPEND: bigfile.txt (279 total chars)
APPEND: bigfile.txt (285 total chars)
APPEND: bigfile.txt (291 total chars)
APPEND: bigfile.txt (297 total chars)
