Line 1: 10 words, 76 characters
Line 2: 20 words, 134 characters
Line 3: 18 words, 158 characters
Line 4: 6 words, 42 characters
Line 5: 10 words, 86 characters
Line 6: 18 words, 152 characters
Line 7: 14 words, 117 characters
Line 8: 20 words, 182 characters
Line 9: 1 words, 5 characters
Line 10: 2 words, 18 characters
Line 11: 1 words, 10 characters
Line 12: 14 words, 141 characters
Line 13: 12 words, 117 characters
Line 14: 1 words, 4 characters
Line 15: 20 words, 190 characters
Line 16: 4 words, 34 characters
Line 17: 16 words, 120 characters
Line 18: 2 words, 13 characters
Line 19: 15 words, 128 characters
Line 20: 12 words, 104 characters
Line 21: 19 words, 138 characters
Line 22: 0 words, 0 characters
Line 23: 14 words, 108 characters
Line 24: 4 words, 38 characters
Line 25: 1 words, 12 characters
Line 26: 10 words, 79 characters
Line 27: 11 words, 120 characters
Line 28: 12 words, 92 characters
Line 29: 12 words, 111 characters
Line 30: 13 words, 112 characters
Line 31: 15 words, 124 characters
Line 32: 1 words, 12 characters
Line 33: 10 words, 90 characters
Line 34: 1 words, 4 characters
Line 35: 0 words, 0 characters
Line 36: 1 words, 12 characters
Line 37: 10 words, 69 characters
Line 38: 3 words, 26 characters
Line 39: 19 words, 159 characters
Line 40: 1 words, 9 characters
Line 41: 9 words, 55 characters
Line 42: 7 words, 49 characters
Line 43: 17 words, 130 characters
Line 44: 15 words, 132 characters
Line 45: 5 words, 36 characters
Line 46: 1 words, 6 characters
Line 47: 8 words, 57 characters
Line 48: 9 words, 57 characters
Line 49: 20 words, 169 characters
Line 50: 8 words, 62 characters
Line 51: 1 words, 8 characters
Line 52: 7 words, 67 characters
Line 53: 20 words, 167 characters
Line 54: 0 words, 0 characters
Line 55: 19 words, 187 characters
Line 56: 12 words, 117 characters
Line 57: 1 words, 11 characters
Line 58: 5 words, 33 characters
Line 59: 8 words, 58 characters
Line 60: 17 words, 138 characters
Line 61: 18 words, 138 characters
Line 62: 18 words, 152 characters
Line 63: 0 words, 0 characters
Line 64: 10 words, 90 characters
Line 65: 3 words, 26 characters
Line 66: 5 words, 33 characters
Line 67: 15 words, 116 characters
Line 68: 13 words, 116 characters
Line 69: 4 words, 33 characters
Line 70: 17 words, 146 characters
Line 71: 14 words, 103 characters
Line 72: 6 words, 44 characters
Line 73: 7 words, 48 characters
Line 74: 4 words, 36 characters
Line 75: 0 words, 0 characters
Line 76: 8 words, 68 characters
Line 77: 16 words, 121 characters
Line 78: 4 words, 37 characters
Line 79: 10 words, 74 characters
Line 80: 5 words, 38 characters
Line 81: 15 words, 117 characters
Line 82: 17 words, 138 characters
Line 83: 0 words, 0 characters
Line 84: 19 words, 200 characters
Line 85: 20 words, 167 characters
Line 86: 0 words, 0 characters
Line 87: 18 words, 150 characters
Line 88: 13 words, 108 characters
Line 89: 1 words, 11 characters
Line 90: 1 words, 8 characters
Line 91: 11 words, 94 characters
Line 92: 3 words, 35 characters
Line 93: 11 words, 97 characters
Line 94: 18 words, 149 characters
Line 95: 15 words, 134 characters
Line 96: 0 words, 0 characters
Line 97: 2 words, 18 characters
Line 98: 0 words, 0 characters
Line 99: 7 words, 51 characters
Line 100: 5 words, 47 characters
Line 101: 4 words, 37 characters
Line 102: 12 words, 102 characters
Line 103: 11 words, 84 characters
Line 104: 13 words, 108 characters
Line 105: 15 words, 131 characters
Line 106: 8 words, 60 characters
Line 107: 8 words, 77 characters
Line 108: 14 words, 121 characters
Line 109: 6 words, 46 characters
Line 110: 10 words, 82 characters
Line 111: 16 words, 129 characters
Line 112: 17 words, 153 characters
Line 113: 0 words, 0 characters
Line 114: 19 words, 154 characters
Line 115: 4 words, 26 characters
Line 116: 16 words, 123 characters
Line 117: 20 words, 184 characters
Line 118: 8 words, 70 characters
Line 119: 11 words, 103 characters
Line 120: 18 words, 157 characters
Line 121: 8 words, 69 characters
Line 122: 19 words, 172 characters
Line 123: 4 words, 29 characters
Line 124: 18 words, 140 characters
Line 125: 7 words, 58 characters
Line 126: 11 words, 90 characters
Line 127: 18 words, 160 characters
Line 128: 12 words, 87 characters
Line 129: 0 words, 0 characters
Line 130: 14 words, 123 characters
Line 131: 13 words, 128 characters
Line 132: 0 words, 0 characters
Line 133: 3 words, 24 characters
Line 134: 8 words, 62 characters
Line 135: 9 words, 75 characters
Line 136: 12 words, 102 characters
Line 137: 2 words, 18 characters
Line 138: 9 words, 80 characters
Line 139: 5 words, 38 characters
Line 140: 3 words, 20 characters
Line 141: 2 words, 22 characters
Line 142: 12 words, 101 characters
Line 143: 12 words, 101 characters
Line 144: 16 words, 134 characters
Line 145: 0 words, 0 characters
Line 146: 14 words, 98 characters
Line 147: 4 words, 42 characters
Line 148: 9 words, 65 characters
Line 149: 2 words, 21 characters
Line 150: 13 words, 93 characters
Line 151: 9 words, 69 characters
Line 152: 10 words, 91 characters
Line 153: 2 words, 12 characters
Line 154: 14 words, 128 characters
Line 155: 18 words, 155 characters
Line 156: 10 words, 87 characters
Line 157: 7 words, 68 characters
Line 158: 0 words, 0 characters
Line 159: 13 words, 105 characters
Line 160: 5 words, 42 characters
Line 161: 6 words, 40 characters
Line 162: 2 words, 21 characters
Line 163: 6 words, 45 characters
Line 164: 10 words, 79 characters
Line 165: 12 words, 103 characters
Line 166: 4 words, 35 characters
Line 167: 15 words, 142 characters
Line 168: 15 words, 132 characters
Line 169: 10 words, 84 characters
Line 170: 0 words, 0 characters
Line 171: 12 words, 96 characters
Line 172: 18 words, 148 characters
Line 173: 11 words, 99 characters
Line 174: 12 words, 98 characters
Line 175: 20 words, 168 characters
Line 176: 0 words, 0 characters
Line 177: 6 words, 43 characters
Line 178: 20 words, 175 characters
Line 179: 1 words, 6 characters
Line 180: 2 words, 10 characters
Line 181: 3 words, 22 characters
Line 182: 6 words, 41 characters
Line 183: 6 words, 49 characters
Line 184: 6 words, 45 characters
Line 185: 12 words, 110 characters
Line 186: 2 words, 19 characters
Line 187: 10 words, 90 characters
Line 188: 2 words, 15 characters
Line 189: 13 words, 118 characters
Line 190: 10 words, 80 characters
Line 191: 10 words, 98 characters
Line 192: 0 words, 0 characters
Line 193: 11 words, 111 characters
Line 194: 17 words, 124 characters
Line 195: 9 words, 74 characters
Line 196: 12 words, 93 characters
Line 197: 17 words, 152 characters
Line 198: 11 words, 101 characters
Line 199: 7 words, 53 characters
Line 200: 12 words, 109 characters
Line 201: 4 words, 36 characters
Line 202: 2 words, 12 characters
Line 203: 20 words, 184 characters
Line 204: 15 words, 139 characters
Line 205: 3 words, 19 characters
Line 206: 6 words, 49 characters
Line 207: 2 words, 19 characters
Line 208: 12 words, 121 characters
Line 209: 4 words, 35 characters
Line 210: 4 words, 32 characters
Line 211: 10 words, 97 characters
Line 212: 14 words, 125 characters
Line 213: 16 words, 120 characters
Line 214: 13 words, 93 characters
Line 215: 17 words, 162 characters
Line 216: 0 words, 0 characters
Line 217: 8 words, 59 characters
Line 218: 9 words, 74 characters
Line 219: 4 words, 38 characters
Line 220: 19 words, 161 characters
Line 221: 12 words, 101 characters
Line 222: 3 words, 26 characters
Line 223: 4 words, 35 characters
Line 224: 6 words, 48 characters
Line 225: 0 words, 0 characters
Line 226: 13 words, 126 characters
Line 227: 8 words, 55 characters
Line 228: 3 words, 19 characters
Line 229: 5 words, 35 characters
Line 230: 13 words, 105 characters
Line 231: 17 words, 159 characters
Line 232: 5 words, 44 characters
Line 233: 5 words, 30 characters
Line 234: 20 words, 194 characters
Line 235: 18 words, 142 characters
Line 236: 1 words, 12 characters
Line 237: 0 words, 0 characters
Line 238: 1 words, 3 characters
Line 239: 13 words, 121 characters
Line 240: 19 words, 161 characters
Line 241: 6 words, 44 characters
Line 242: 0 words, 0 characters
Line 243: 18 words, 159 characters
Line 244: 2 words, 17 characters
Line 245: 4 words, 22 characters
Line 246: 15 words, 107 characters
Line 247: 0 words, 0 characters
Line 248: 9 words, 75 characters
Line 249: 10 words, 84 characters
Line 250: 0 words, 0 characters
Line 251: 18 words, 157 characters
Line 252: 10 words, 82 characters
Line 253: 20 words, 170 characters
Line 254: 5 words, 46 characters
